semantic_name|display_name|subject|drive_file_id|placeholders|active|notes
MEM_PASSWORD_SET_TO_MEMBER|Members: Password Set|Your GEA Portal Password Is Ready|1regRldDkux6fL3-RoAHVB-wLirQzU9dh|FIRST_NAME;PORTAL_URL|true|Sent when a temporary password is issued; member should log in and change it immediately
MEM_RENEWAL_REMINDER_30_DAYS_TO_MEMBER|Members: Renewal Reminder (30 Days)|GEA Membership Renewal Due in 30 Days — Renew by {{RENEWAL_DEADLINE}}|14UMazCEkQfeClEtazON365NF06hwphyS|FIRST_NAME;MEMBERSHIP_YEAR;PORTAL_URL;RENEWAL_DEADLINE|true|Early renewal nudge sent 30 days before July 31 expiration
MEM_RENEWAL_REMINDER_7_DAYS_TO_MEMBER|Members: Renewal Reminder (7 Days)|Urgent: GEA Membership Expires in 7 Days — Renew by {{RENEWAL_DEADLINE}}|15_XI_fEmCv3t3frP_rMHWc_bvJtEwSBM|FIRST_NAME;MEMBERSHIP_YEAR;PORTAL_URL;RENEWAL_DEADLINE|true|Final renewal warning 7 days before expiration; stronger urgency and call to action
MEM_MEMBERSHIP_LAPSED_TO_MEMBER|Members: Membership Lapsed|URGENT: Your GEA Membership Grace Period Has Ended|1GEXZPAN42Ni3mhdgGz6Yk99HoI4DYjrs|EXPIRED_DATE;FIRST_NAME;GRACE_END_DATE;RENEWAL_PORTAL_URL;DUES_BWP;DUES_USD|true|Sent when grace period ends 31 days after expiration; membership is now lapsed and functions suspended
MEM_MEMBERSHIP_AUTO_TERMINATED_TO_MEMBER|Members: Membership Auto-Terminated|Your GEA Membership Account Has Been Terminated|1lOgV9gtYRFHZsuUDI5C3kgJ3vgbx7DA7|FIRST_NAME;LAPSED_DATE;TERMINATION_DATE;TERMINATION_REASON|true|Sent after 24 months of lapsed status; membership account automatically terminated; reapplication required
MEM_RENEWAL_PAYMENT_VERIFIED_TO_MEMBER|Members: Renewal Payment Verified|🎉 Welcome Back! Your Membership is Renewed|1nJUv6YCs0jDZJjxFZdEyJOlINQrtfsMl|FIRST_NAME;MEMBERSHIP_LEVEL;NEW_EXPIRATION_DATE;PORTAL_URL;RENEWAL_DATE|true|Sent when lapsed member's renewal payment is verified and account reactivated
PAY_PAYMENT_CLARIFICATION_REQUESTED_TO_MEMBER|Payments: Payment Clarification Requested|GEA: Your Payment Needs Clarification — Action Required|18HRSaA7HXNDHvIvDmLSghNrU7szZdPJ0|CLARIFICATION_NEEDED;CONTACT_EMAIL;DEADLINE;FIRST_NAME;PAYMENT_ID|true|Treasurer requests additional information before payment can be verified
PAY_PAYMENT_CONFIRMATION_RECEIVED_TO_MEMBER|Payments: Payment Confirmation Received|GEA: Payment Confirmation Received ({{PAYMENT_ID}})|1Ke4IEPUym9F0Aje_giq9V5ArbJULt7V4|AMOUNT;CURRENCY;FIRST_NAME;PAYMENT_ID;PORTAL_URL;REFERENCE_NUMBER;SUBMISSION_DATE|true|Acknowledges receipt of bank payment confirmation document
PAY_PAYMENT_PROOF_RECEIVED_TO_MEMBER|Payments: Payment Proof Received|GEA: Payment Proof Received — Under Review|1SOL1nAkzjDilU-LbGaftpV5LhiyRl9c6|AMOUNT;FIRST_NAME;PAYMENT_ID;PORTAL_URL;SUBMISSION_DATE|true|Acknowledges proof-of-payment upload; sets expectation for Treasurer review timeline
PAY_PAYMENT_REJECTED_TO_MEMBER|Payments: Payment Rejected|GEA: Your Payment Submission Could Not Be Verified|1Za9tXcR0aQF9plLA0jRDfhq55j1oEhM0|CONTACT_EMAIL;FIRST_NAME;PAYMENT_ID;PORTAL_URL;REJECTION_REASON;RESUBMIT_DEADLINE|true|Notifies member that submitted payment could not be matched; resubmission instructions included
PAY_PAYMENT_SUBMITTED_BOARD_FYI_TO_BOARD|Payments: Payment Submitted — Board FYI|Payment Submitted: {{MEMBER_NAME}} — {{AMOUNT}} {{CURRENCY}}|1g9OBsdivOXyhKCEYN3EafPaT7m9OJbsu|AMOUNT;CURRENCY;FIRST_NAME;MEMBER_NAME;PAYMENT_ID;STATUS;SUBMISSION_DATE|true|Informational alert to board when a member submits payment; no action required
PAY_PAYMENT_SUBMITTED_TO_MEMBER|Payments: Payment Submitted|GEA: Your Payment Has Been Submitted|1ZuNRvXyoT0X0JGkRdq93_W2-4KgUfjuW|AMOUNT;CURRENCY;FIRST_NAME;NEXT_STEP;PAYMENT_ID;PORTAL_URL;SUBMISSION_DATE|true|Confirms member payment submission and sets expectation for Treasurer review
PAY_PAYMENT_VERIFIED_ACTIVATED_BOARD_FYI_TO_BOARD|Payments: Payment Verified & Activated — Board FYI|Payment Verified & Membership Activated: {{MEMBER_NAME}}|1Gcn0TfzxHBsthqDXUBse97L19i23gZc3|AMOUNT;CURRENCY;FIRST_NAME;MEMBERSHIP_ACTIVATED;MEMBER_NAME;PAYMENT_ID|true|Informs board when Treasurer verifies payment and membership is activated
PAY_PAYMENT_VERIFIED_TO_MEMBER|Payments: Payment Verified|GEA: Your Payment Is Verified — Membership Is Now Active!|1Sm5ehLzk6JmBx4RmrfM_oXKN1BXzgKgX|AMOUNT;CURRENCY;FIRST_NAME;MEMBERSHIP_ACTIVATED;PAYMENT_ID;PORTAL_URL;VERIFICATION_DATE|true|Final confirmation to member that payment was accepted and membership is fully active
RES_APPROVAL_REMINDER_TO_BOARD|Reservations: Approval Reminder — Board|Action Required: {{PENDING_COUNT}} Reservation(s) Awaiting Your Approval|1aWXow8y0Bp1vEnS6WJ5nFljvYVaXLzPD|ADMIN_PORTAL_URL;PENDING_COUNT;PENDING_LIST|true|Daily nightly digest to board listing all reservations still in pending status
RES_BOOKING_APPROVAL_REQUEST_TO_BOARD|Reservations: Booking Approval Request — Board|Action Required: Reservation Approval — {{MEMBER_NAME}} at {{FACILITY}} on {{RESERVATION_DATE}}|16P9MU_U4bQ18rxkr85zoRJ0gn9zmAwtZ|APPROVE_LINK;DENY_LINK;END_TIME;EVENT_NAME;FACILITY;GUEST_COUNT;GUEST_LIST_LINK;GUESTS;LEOBO_MONTHLY_LIMIT;LEOBO_USAGE;MEMBERSHIP_LEVEL;MEMBERSHIP_STATUS;MEMBER_EMAIL;MEMBER_NAME;MEMBER_PHONE;OTHER_EVENTS_LIST;RESERVATION_DATE;START_TIME;SUBMISSION_TIMESTAMP|true|Primary board action email for all standard (non-excess) reservation approvals
RES_BOOKING_APPROVED_TO_MEMBER|Reservations: Booking Approved|GEA Reservation Approved: {{FACILITY_NAME}} on {{RESERVATION_DATE}}|1T6TAun0tjku2jaSayjcJD8MFrMi9kOMv|FACILITY_NAME;FIRST_NAME;GUEST_LIMIT;PORTAL_URL;RESERVATION_DATE;RESERVATION_ID;RESERVATION_TIME|true|Approval confirmation sent to member; includes guest list submission instructions
RES_BOOKING_CANCELLED_TO_MEMBER|Reservations: Booking Cancelled|GEA Reservation Cancelled: {{FACILITY_NAME}} on {{ORIGINAL_DATE}}|1sYJYK3_TGIWnNOBpmGfyx24OYAKlz3JT|CANCELLATION_REASON;FACILITY_NAME;FIRST_NAME;ORIGINAL_DATE;RESERVATION_ID|true|Cancellation confirmation with reason; sent on cancel by member or board
RES_BOOKING_DENIED_BOARD_COPY_TO_BOARD|Reservations: Booking Denied — Board Copy|Reservation Denied: {{MEMBER_NAME}} — {{FACILITY_NAME}} on {{REQUESTED_DATE}}|1IQDsUMbs1KR3R8hT7LF7f0iVHC7yiCL1|DENIAL_REASON;FACILITY_NAME;MEMBER_NAME;REQUESTED_DATE;RESERVATION_ID|true|Board record copy when a reservation is denied; for audit trail and board awareness
RES_BOOKING_DENIED_TO_MEMBER|Reservations: Booking Denied|GEA Reservation: Your Request for {{FACILITY_NAME}} Was Not Approved|1KP-WOrlIn-qoqVHvu6kMsh6NEb-IOAEX|DENIAL_REASON;FACILITY_NAME;FIRST_NAME;REQUESTED_DATE;RESERVATION_ID|true|Denial with reason sent to member; contact info included for questions or appeal
RES_BOOKING_PENDING_REVIEW_TO_MEMBER|Reservations: Booking Pending Review|GEA Reservation Received — Pending Board Review|1ctE8Vr2MJYtlYSK8xTwOHEd30LZlIFbm|FACILITY_NAME;FIRST_NAME;RESERVATION_DATE;RESERVATION_ID;REVIEW_DEADLINE|true|Interim notice for reservations requiring board approval; sets expectation for timeline
RES_BOOKING_RECEIVED_TO_MEMBER|Reservations: Booking Received|GEA Reservation Received: {{FACILITY_NAME}} on {{RESERVATION_DATE}}|1CNwjEHGTlkFK6C1hBWzyjH3zfIvt9l_1|FACILITY_NAME;FIRST_NAME;PORTAL_URL;RESERVATION_DATE;RESERVATION_ID;RESERVATION_TIME|true|Initial confirmation for auto-approved bookings (tennis within weekly limit)
RES_BOOKING_WAITLISTED_TO_MEMBER|Reservations: Booking Waitlisted|GEA: You Are on the Waitlist — {{FACILITY_NAME}} on {{RESERVATION_DATE}}|1c_O4QZvVBGkQ8lx9wmM7MuloSXzxzwPY|FACILITY_NAME;FIRST_NAME;PORTAL_URL;RESERVATION_DATE;RESERVATION_ID;RESERVATION_TIME;WAITLIST_POSITION|true|Sent to member when board places their pending reservation on the waitlist; includes their position number
RES_EXCESS_LEOBO_APPROVAL_REQUEST_TO_MEMBER|Reservations: Excess Leobo Approval Request|GEA: Your Leobo Booking Exceeds Monthly Limit — Pending Board Approval|18Ol6ruIWA1H6cIXchcm-_iTMrgv_2aFa|APPROVAL_URL;FIRST_NAME;REASON;REQUESTED_DATE|true|Informs member their Leobo request exceeds the monthly household limit and requires board approval
RES_EXCESS_LEOBO_APPROVAL_REQUEST_TO_MGT|Reservations: Excess Leobo Approval Request — MGT|Action Required: Excess Leobo Booking — {{MEMBER_NAME}} on {{RESERVATION_DATE}}|1dZKwYVKiEN8xyGEI47eEwqKJ8JUCf9lp|APPROVE_LINK;BUMP_DEADLINE;DENY_LINK;DURATION_HOURS;END_TIME;EVENT_NAME;EXISTING_BOOKINGS_LIST;FACILITY;GUEST_COUNT;GUEST_LIST_LINK;GUESTS;HOURS_USED;HOUSEHOLD_NAME;LEOBO_BUMP_WINDOW_DAYS;LEOBO_MAX_HOURS;LEOBO_MONTHLY_LIMIT;LEOBO_USAGE;MEMBERSHIP_LEVEL;MEMBERSHIP_STATUS;MEMBER_EMAIL;MEMBER_NAME;MEMBER_PHONE;OTHER_EVENTS_LIST;RESERVATION_DATE;START_TIME|true|MGT action email for Leobo bookings that exceed the monthly household limit
RES_EXCESS_TENNIS_APPROVAL_REQUEST_TO_BOARD|Reservations: Excess Tennis Approval Request — Board|Action Required: Excess Tennis Booking — {{MEMBER_NAME}} on {{RESERVATION_DATE}}|19ybLuxthFTbnesNj5zL0Qmyc3VnQXd7n|APPROVE_LINK;BUMP_DEADLINE;DENY_LINK;DURATION_HOURS;END_TIME;EVENT_NAME;EXISTING_BOOKINGS_LIST;GUEST_COUNT;GUEST_LIST_LINK;GUESTS;HOURS_USED;MEMBER_EMAIL;MEMBER_NAME;OTHER_EVENTS_LIST;RESERVATION_DATE;START_TIME;TENNIS_WEEKLY_LIMIT_HOURS|true|Board action email for tennis bookings that exceed the 3-hour weekly household limit
RES_EXCESS_TENNIS_APPROVAL_REQUEST_TO_MEMBER|Reservations: Excess Tennis Approval Request|GEA: Your Tennis Booking Exceeds Weekly Hours — Pending Board Approval|1paiuWE6G-wocbs5NwO6j94ui7cKw64IY|APPROVAL_URL;FIRST_NAME;REASON;REQUESTED_DATE|true|Informs member their tennis request exceeds the 3-hour weekly household limit and requires board approval
RES_GUEST_LIST_DEADLINE_REMINDER_TO_MEMBER|Reservations: Guest List Deadline Reminder|Reminder: Guest List Due {{DEADLINE}} — {{FACILITY_NAME}} on {{RESERVATION_DATE}}|1MX4Yi40budP2n-CVZZ3Egs7E1dJ4NbS9|DEADLINE;FACILITY_NAME;FIRST_NAME;PORTAL_URL;RESERVATION_DATE;RESERVATION_ID|true|Final-call reminder sent one day before the guest list submission deadline
RES_GUEST_LIST_REJECTIONS_TO_BOARD|Reservations: Guest List Rejections — Board|RSO Guest Review: {{REJECTED_COUNT}} Guest(s) Flagged — {{HOUSEHOLD_NAME}} on {{RESERVATION_DATE}}|1Tu0E9eR47BMOvHyKsa_0NIXPfRC2Ewr5|APPROVED_COUNT;APPROVED_LIST;FACILITY_NAME;HOUSEHOLD_NAME;MEMBER_EMAIL;REJECTED_COUNT;REJECTED_LIST;RESERVATION_DATE;RESERVATION_ID;REVIEW_DATE|true|Board notification when RSO flags one or more guests during guest list review
RES_GUEST_LIST_SUBMITTED_TO_MEMBER|Reservations: Guest List Submitted|GEA: Guest List Received for {{FACILITY_NAME}} on {{RESERVATION_DATE}}|1yKWxguAfg2K17wY9ULDRxeMW4A6oN6hE|DEADLINE;FACILITY_NAME;FIRST_NAME;GUEST_COUNT;PORTAL_URL;RESERVATION_DATE;RESERVATION_ID|true|Confirms to member that their guest list has been received and is pending RSO review
RES_HOLIDAY_CALENDAR_REMINDER_TO_MEMBER|Reservations: Holiday Calendar Reminder|GEA: Holiday Calendar Update Required — {{HOLIDAY_NAME}}|1Gy64J9pbmqSDfev-AdqBvxlTz8yabWk9|DATES;FACILITY_CLOSURES;FIRST_NAME;HOLIDAY_NAME;PORTAL_URL|true|Sent to board on Nov 1 annually; reminder to update holiday calendar for the coming year
RES_LEOBO_APPROVAL_REQUEST_TO_MGT|Reservations: Leobo Approval Request — MGT|Action Required: Leobo Booking Approval — {{MEMBER_NAME}} on {{RESERVATION_DATE}}|1sT1DFNx2a_Xso3F311vhOFI7ubPFGpRc|APPROVE_LINK;BUMP_DEADLINE;DENY_LINK;DURATION_HOURS;END_TIME;EVENT_NAME;FACILITY;GUEST_COUNT;GUEST_LIST_LINK;GUESTS;HOUSEHOLD_NAME;LEOBO_MONTHLY_LIMIT;LEOBO_USAGE;MEMBERSHIP_LEVEL;MEMBERSHIP_STATUS;MEMBER_EMAIL;MEMBER_NAME;MEMBER_PHONE;OTHER_EVENTS_LIST;RESERVATION_DATE;START_TIME|true|MGT action email for all standard (non-excess) Leobo booking approvals
RES_LEOBO_LIMIT_REACHED_TO_MEMBER|Reservations: Leobo Limit Reached|GEA: Monthly Leobo Limit Reached — Request Submitted for Board Review|1Bh6Ig5NJV-78VX73fiaSPECUDDmBiyG9|CURRENT_RESERVATIONS;FIRST_NAME;LIMIT;WAITLIST_INFO|true|Sent when member's Leobo request exceeds the monthly limit; board review required
RES_LEOBO_MGT_APPROVED_TO_BOARD|Reservations: Leobo MGT Approved — Board Final|Action Required: Final Board Approval — {{MEMBER_NAME}} Leobo on {{RESERVATION_DATE}}|171NP4uGKPIv9borQ2evTcds4xoB1s0aF|APPROVE_LINK;DENY_LINK;END_TIME;EVENT_NAME;FACILITY;GUEST_COUNT;MEMBER_EMAIL;MEMBER_NAME;MEMBER_PHONE;MGT_APPROVED_BY;RESERVATION_DATE;RESERVATION_ID;START_TIME|true|Board notification requesting final approval after management officer approves leobo booking
RES_TENNIS_LIMIT_REACHED_TO_MEMBER|Reservations: Tennis Limit Reached|GEA: Weekly Tennis Hours Limit Reached — Request Submitted for Board Review|1Krch6hX94ni2f81xcnNiuT74mweqzaEi|CURRENT_RESERVATIONS;FIRST_NAME;LIMIT;WAITLIST_INFO|true|Sent when member's tennis request exceeds the weekly 3-hour limit; board review required
RES_WAITLIST_SLOT_OPENED_TO_MEMBER|Reservations: Waitlist Slot Opened|GEA: {{FACILITY}} Available on {{RESERVATION_DATE}} — Claim Your Spot|1A80SNVRH0mreUztXTR9lWKOqArS2OuWL|END_TIME;FACILITY;FIRST_NAME;PORTAL_URL;RESERVATION_DATE;START_TIME;WAITLIST_HOLD_HOURS|true|Notifies waitlisted member that a slot has opened; slot held for WAITLIST_HOLD_HOURS before moving to next in queue
SYS_PASSWORD_RESET_COMPLETE_TO_ADMIN|Admin: Password Reset Complete|Your GEA Admin Portal Password Has Been Reset|1eUv_vOljyFq3qemdMZvqs3MIaveg9Y8T|FIRST_NAME|true|Confirmation that admin has successfully reset their password
SYS_PASSWORD_RESET_REQUEST_TO_ADMIN|Admin: Password Reset Request|Reset Your GEA Admin Portal Password|1A9kxifFbewYHkULG1blMxaN9gjOUJ-bS|FIRST_NAME;RESET_LINK;RESET_WINDOW_MINUTES|true|Self-serve password reset request for admin accounts
ADM_RSO_APPLICATION_REVIEW_REQUEST_TO_RSO_APPROVE|Admin: RSO Application Review Request|Action Required: Application Review for {{APPLICANT_NAME}}|14UFVTYyLEckLqYxJXduvT39uCQHJ_80L|APPLICANT_NAME;APPLICATION_ID;CATEGORY_VERIFICATION_REQUIREMENTS;DEADLINE;FIRST_NAME|true|Distinguish application eligibility review from document verification (Step 6)
ADM_PAYMENT_VERIFICATION_REQUEST_TO_TREASURER|Admin: Payment Verification Request|Action Required: Payment Verification for {{MEMBER_NAME}} — {{AMOUNT}}|1zCzVwIO0UOYYjhmoJ1pEV1CDDw6dRNIR|AMOUNT;APPLICATION_ID;CURRENCY;FIRST_NAME;MEMBER_NAME;PAYMENT_DEADLINE|true|Explicit action request to Treasurer; sent to board email for coverage (Step 7A.3)
ADM_DOCUMENTS_APPROVED_BY_RSO_TO_APPLICANT|Admin: Documents Approved by RSO|Your GEA Documents Have Been Verified and Approved|1ObnZONrcmBOlC9NyaXh19lESOY-cqRa2|APPROVAL_DATE;APPLICATION_ID;DOCUMENT_TYPES;FIRST_NAME;PORTAL_URL|true|Transparency checkpoint when all application ID documents approved (Step 5.3)
ADM_MEMBERSHIP_ACTIVATED_TO_RSO|Admin: Membership Activated for RSO|{{MEMBER_NAME}} Is Now an Active GEA Member|1R-lnwk50MSE4o8KqoqenypynhiwaD3Zd|ACTIVATION_DATE;APPLICATION_ID;FIRST_NAME;MEMBER_ID;MEMBER_NAME|true|Closure notification for RSO; member now in directory for guards' awareness (Step 9.4)
